Nombre_Hilo,Color_RGB,Color_Hex,Ruta_Local
553,"(68, 133, 121)",#448579,https://piccolo.com.co/wp-content/uploads/2024/01/553.jpg
547,"(138, 154, 169)",#8A9AA9,https://piccolo.com.co/wp-content/uploads/2024/01/547.jpg
546,"(25, 29, 108)",#191D6Chttps://piccolo.com.co/wp-content/uploads/2024/01/546.jpg
552,"(8, 69, 21)",#084515,https://piccolo.com.co/wp-content/uploads/2024/01/552.jpg
585,"(197, 115, 138)",#C5738A,https://piccolo.com.co/wp-content/uploads/2024/01/585.jpg
591,"(70, 94, 57)",#465E39,https://piccolo.com.co/wp-content/uploads/2024/01/591.jpg
618,"(61, 57, 21)",#3D3915,https://piccolo.com.co/wp-content/uploads/2024/01/618.jpg
587,"(156, 137, 127)",#9C897F,https://piccolo.com.co/wp-content/uploads/2024/01/587.jpg
593,"(136, 153, 162)",#8899A2,https://piccolo.com.co/wp-content/uploads/2024/01/593.jpg
578,"(210, 77, 14)",#D24D0E,https://piccolo.com.co/wp-content/uploads/2024/01/578.jpg
544,"(35, 63, 157)",#233F9D,https://piccolo.com.co/wp-content/uploads/2024/01/544.jpg
550,"(113, 161, 35)",#71A123,https://piccolo.com.co/wp-content/uploads/2024/01/550.jpg
551,"(103, 151, 121)",#679779,https://piccolo.com.co/wp-content/uploads/2024/01/551.jpg
545,"(144, 73, 106)",#90496A,https://piccolo.com.co/wp-content/uploads/2024/01/545.jpg
579,"(22, 33, 37)",#162125,https://piccolo.com.co/wp-content/uploads/2024/01/579.jpg
592,"(85, 60, 46)",#553C2E,https://piccolo.com.co/wp-content/uploads/2024/01/592.jpg
586,"(129, 64, 35)",#814023,https://piccolo.com.co/wp-content/uploads/2024/01/586.jpg
623,"(219, 165, 154)",#DBA59A,https://piccolo.com.co/wp-content/uploads/2024/01/623.jpg
582,"(137, 126, 114)",#897E72,https://piccolo.com.co/wp-content/uploads/2024/01/582.jpg
596,"(217, 176, 167)",#D9B0A7,https://piccolo.com.co/wp-content/uploads/2024/01/596.jpg
541,"(129, 34, 64)",#812240,https://piccolo.com.co/wp-content/uploads/2024/01/541.jpg
555,"(67, 83, 72)",#435348,https://piccolo.com.co/wp-content/uploads/2024/01/555.jpg
569,"(40, 89, 152)",#285998,https://piccolo.com.co/wp-content/uploads/2024/01/569.jpg
568,"(216, 214, 136)",#D8D688,https://piccolo.com.co/wp-content/uploads/2024/01/568.jpg
554,"(34, 108, 40)",#226C28,https://piccolo.com.co/wp-content/uploads/2024/01/554.jpg
540,"(93, 130, 184)",#5D82B8,https://piccolo.com.co/wp-content/uploads/2024/01/540.jpg
597,"(38, 50, 22)",#263216,https://piccolo.com.co/wp-content/uploads/2024/01/597.jpg
583,"(117, 117, 72)",#757548,https://piccolo.com.co/wp-content/uploads/2024/01/583.jpg
622,"(119, 57, 22)",#773916,https://piccolo.com.co/wp-content/uploads/2024/01/622.jpg
620,"(187, 129, 76)",#BB814C,https://piccolo.com.co/wp-content/uploads/2024/01/620.jpg
608,"(57, 16, 26)",#39101A,https://piccolo.com.co/wp-content/uploads/2024/01/608.jpg
595,"(207, 102, 16)",#CF6610,https://piccolo.com.co/wp-content/uploads/2024/01/595.jpg
581,"(154, 148, 124)",#9A947C,https://piccolo.com.co/wp-content/uploads/2024/01/581.jpg
556,"(138, 132, 45)",#8A842D,https://piccolo.com.co/wp-content/uploads/2024/01/556.jpg
542,"(25, 78, 156)",#194E9C,https://piccolo.com.co/wp-content/uploads/2024/01/542.jpg
Negro,"(48, 43, 41)",#302B29,https://piccolo.com.co/wp-content/uploads/2024/01/Negro.jpg
543,"(133, 78, 92)",#854E5C,https://piccolo.com.co/wp-content/uploads/2024/01/543.jpg
557,"(217, 209, 149)",#D9D195,https://piccolo.com.co/wp-content/uploads/2024/01/557.jpg
580,"(200, 33, 23)",#C82117,https://piccolo.com.co/wp-content/uploads/2024/01/580.jpg
594,"(56, 51, 48)",#383330,https://piccolo.com.co/wp-content/uploads/2024/01/594.jpg
609,"(134, 127, 112)",#867F70,https://piccolo.com.co/wp-content/uploads/2024/01/609.jpg
621,"(180, 149, 152)",#B49598,https://piccolo.com.co/wp-content/uploads/2024/01/621.jpg
